longitude,latitude,species,loc
-90.041111,-0.803611,Microlophus barringtonensis,island
-90.041111,-0.803611,Microlophus barringtonensis,island
-90.041111,-0.803611,Microlophus barringtonensis,island
-90.041111,-0.803611,Microlophus barringtonensis,island
-90.041111,-0.803611,Microlophus barringtonensis,island
-90.041111,-0.803611,Microlophus barringtonensis,island
-90.041111,-0.803611,Microlophus barringtonensis,island
-90.041111,-0.803611,Microlophus barringtonensis,island
-90.041111,-0.803611,Microlophus barringtonensis,island
-90.041111,-0.803611,Microlophus barringtonensis,island
-90.041111,-0.803611,Microlophus barringtonensis,island
-90.041111,-0.803611,Microlophus barringtonensis,island
-90.041111,-0.803611,Microlophus barringtonensis,island
-90.041111,-0.803611,Microlophus barringtonensis,island
-90.041111,-0.803611,Microlophus barringtonensis,island
-90.041111,-0.803611,Microlophus barringtonensis,island
-90.041111,-0.803611,Microlophus barringtonensis,island
-90.041111,-0.803611,Microlophus barringtonensis,island
-90.041111,-0.803611,Microlophus barringtonensis,island
-90.041111,-0.803611,Microlophus barringtonensis,island
-90.041111,-0.803611,Microlophus barringtonensis,island
-90.041111,-0.803611,Microlophus barringtonensis,island
-90.041111,-0.803611,Microlophus barringtonensis,island
-90.041111,-0.803611,Microlophus barringtonensis,island
-90.041111,-0.803611,Microlophus barringtonensis,island
-90.041111,-0.803611,Microlophus barringtonensis,island
-90.041111,-0.803611,Microlophus barringtonensis,island
-90.041111,-0.803611,Microlophus barringtonensis,island
-90.041111,-0.803611,Microlophus barringtonensis,island
-90.041111,-0.803611,Microlophus barringtonensis,island
-90.041111,-0.803611,Microlophus barringtonensis,island
-90.041111,-0.803611,Microlophus barringtonensis,island
-90.041111,-0.803611,Microlophus barringtonensis,island
-90.041111,-0.803611,Microlophus barringtonensis,island
-90.041111,-0.803611,Microlophus barringtonensis,island
-90.041018,-0.803061,Microlophus barringtonensis,island
-90.041017,-0.801975,Microlophus barringtonensis,island
-90.040993,-0.802223,Microlophus barringtonensis,island
-90.040973,-0.802253,Microlophus barringtonensis,island
-90.040969,-0.802454,Microlophus barringtonensis,island
-90.04088,-0.802294,Microlophus barringtonensis,island
-90.040834,-0.802202,Microlophus barringtonensis,island
-90.040707,-0.802689,Microlophus barringtonensis,island
-90.040698,-0.803595,Microlophus barringtonensis,island
-90.040684,-0.816909,Microlophus barringtonensis,island
-90.040619,-0.802378,Microlophus barringtonensis,island
-90.0372,-0.80378,Microlophus barringtonensis,island
-90.0372,-0.80378,Microlophus barringtonensis,island
-90.0372,-0.80378,Microlophus barringtonensis,island
-90.0372,-0.80378,Microlophus barringtonensis,island
-90.036944,-0.803889,Microlophus barringtonensis,island
-90.036944,-0.803889,Microlophus barringtonensis,island
-90.036944,-0.803889,Microlophus barringtonensis,island
-90.036944,-0.803889,Microlophus barringtonensis,island
-90.036944,-0.803889,Microlophus barringtonensis,island
-90.036944,-0.803889,Microlophus barringtonensis,island
-90.036944,-0.803889,Microlophus barringtonensis,island
-90.036944,-0.803889,Microlophus barringtonensis,island
-90.036944,-0.803889,Microlophus barringtonensis,island
-90.036944,-0.803889,Microlophus barringtonensis,island
-90.036944,-0.803889,Microlophus barringtonensis,island
